ZZZ3
ZPLD1
ZNRF3
ZNF800
ZNF673
ZNF664
ZNF652
ZNF627
ZNF608
ZNF596
ZNF45
ZNF259
ZNF248
ZNF169
ZMPSTE24
ZHX2
ZGLP1
ZFR2
ZFPM2
ZFP64
ZFP57
ZFP36
ZFHX3
ZFAND6
ZC3H4
ZBTB7C
ZBTB7B
ZBTB40
ZBTB38
ZBTB16
ZBED3
YY1
YIPF3
XRCC1
XPC
XPA
XBP1
WWOX
WRN
WNT7B
WNT5B
WNT4
WNT16
WNT10B
WLS
WFS1
WDTC1
WDR60
WDR36
WDR11
WARS2
VWF
VTN
VRK2
VPS26A
VPS13C
VPREB1
VLDLR
VKORC1
VIPR2
VIP
VHL
VGF
VEGFA
VEGF
VDR
VCAN
VCAM1
VAV3
VAV2
VARS2
UTS2R
USP49
USP37
USP2
USP14
USMG5
USF1
UNC119B
ULK1
UIMC1
UGT8
UGT2B7
UGT2B28
UGT2B17
UGT1A6
UGT1A1
UGCG
UFSP1
UFL1
UCP3
UCP2
UCP1
UCN
UBL5
UBE4A
UBE3C
UBE2Z
UBE2E3
TYRO3
TXNIP
TXNDC12
TXN
TUFM
TUB
TTN
TTC8
TTC39B
TST
TSPAN8
TSLP
TSKU
TSHZ1
TSHR
TSC22D2
TSC2
TSC1
TRPV5
TRPV4
Trpv4
TRPV1
TRPM8
TRPM5
TRPM2
TRPC6
TRPC3
TRPC1
TRNL1
TRNI
TRIM32
TRIB3
TRIB2
TRIB1
TRHR
TRG@
TRAP
TRA2B
TPST1
TPPP
TPO
TPMT
TPH2
TPH1
TP73
TP53
TOX
TOMM40
TNXB
TNNI3K
TNNI3
TNMD
TNKS
TNFSF11
TNFRSF21
TNFRSF1B
TNFRSF1A
TNFRSF17
TNFRSF13B
TNFRSF11B
TNFRSF11A
TNFAIP3
TNFAIP1
TNF
TMTC1
TMEM87B
TMEM5
TMEM37
TMEM232
TMEM212
TMEM195
TMEM182
TMEM18
TMEM160
TMEM101
TM6SF2
TLR5
TLR4
TLR2
TLE4
TK1
TIPARP
TIMP4
TIMP1
TIMELESS
TIGD6
TIAM1
THUMPD2
THRA
THNSL2
THBS1
THADA
TH
TGM2
TGFBR1
TGFB1
TGFA
TG
TFRC
TFPI
TFAP2B
TFAP2A
TFAM
TF
TERT
TERC
TEK
TCOF1
TCN2
TCF7L2
TCF7
TCF4
TCF3
TCF20
TCF1
TCERG1L
TBXA2R
TBX5
TBX15
TBX1
TBP
TBL2
TBCA
TBC1D9
TBC1D22A
TBC1D1
TAS2R9
TAS2R38
TAS1R3
TAS1R2
TAM
TAL1
SYPL2
SYNM
SYCP2L
SVIP
SVIL
SULT4A1
SULT1A2
SULT1A1
SULF2
SUGP1
SUCLG2
STXBP4
STXBP1
STX1A
STRA6
STMN1
STK39
STK38
STK33
STK11
STEAP4
STCH
STAT3
STAT2
STARD3NL
STAMBP
STAB1
ST8SIA2
ST6GAL1
ST3GAL6
SSTR4
SSTR2
SSPN
SSFA2
SSB
SRR
SRI
SRFBP1
SREBF2
Srebf1
SREBF1
SRD5A2
SRD5A1
SRC
SQLE
SPTBN1
SPSB3
SPRY2
SPRY1
SPP1
SPNS1
SPINK1
SPG7
SPATS2L
Spata5
SPARCL1
SPAG16
SP7
SOX6
SOX5
SOST
SORT1
SORL1
SORBS1
SOD3
SOD2
SOD1
SOCS7
SOCS3
SOCS2
SOCS1
SOAT2
SNX21
SNX17
SNX16
SNRPN
SNHG11
SNAP25
SNAI1
SMPD1
SMOC1
SMAD3
SLTM
SLPI
SLITRK5
SLIT3
SLCO3A1
SLCO2B1
SLCO1B3
SLCO1B1
SLC9A7
SLC9A6
SLC9A11
SLC7A4
SLC6A4
SLC6A3
SLC6A2
SLC6A15
SLC6A14
SLC5A1
SLC4A5
SLC4A2
SLC4A1
SLC47A1
SLC45A2
SLC39A8
SLC39A14
SLC35F3
SLC35B4
SLC35B2
Slc32a1
SLC30A8
SLC30A10
SLC2A9
SLC2A4
SLC2A2
Slc2a2
SLC2A10
SLC2A1
SLC27A1
SLC25A46
SLC25A24
SLC25A12
SLC24A5
SLC22A5
SLC22A4
SLC22A2
SLC22A18AS
SLC22A17
SLC22A12
SLC22A11
SLC22A1
SLC1A5
SLC1A2
SLC18A1
SLC17A5
SLC17A3
SLC17A1
SLC16A11
SLC16A1
SLC15A1
SLC13A3
SLC12A8
SLC12A5
SLC10A1
SKOR1
SIX6
SIX5
SIRT6
SIRT1
SIM1
SHROOM2
SHH
SHC1
SHBG
SH3PXD2B
SH3BGRL2
SH3BGRL
SH3BGR
SH2B3
SH2B1
SGSM2
SGK1
SGIP1
SGCZ
SFTA2
SFRP5
SFRP1
SFMBT1
SFI1
SERPINF1
SERPINE2
SERPINE1
SERPINC1
SERPINB5
SERPINA6
SERPINA3
SERPINA12
SERPINA1
SEPP1
SEMA4D
SEMA3G
SELS
SELP
SELENBP1
SELE
SEC16B
SDS
SDHC
SDF2
SDCCAG8
SDC4
SDC3
SDC1
Scrib
SCNN1G
SCNN1B
SCNN1A
SCN1A
SCGN
SCGB3A1
SCGB1A1
SCG5
SCG3
Scd1
SCD
SCARB2
SCARB1
SCAP
SCAI
SC5DL
SAT1
SARS
SAP30BP
SAMSN1
SALL1
SAGE1
SAA4
SAA1
SAA@
S1PR5
S100A8
RYR1
RXRG
RXRB
